Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
151.101.218.133-200.16.22.74-443-21146-6,200.16.22.74,21146,151.101.218.133,443,6,18/12/2019 03:39:24,344,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,90116.27906976744,5813.953488372093,344.0,0.0,344.0,344.0,344.0,344.0,0.0,344.0,344.0,0,0,0,0,0,1,0,0,0,64,0,5813.953488372093,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,398,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-104.19.161.19-59262-80-6,200.16.22.74,59262,104.19.161.19,80,6,18/12/2019 03:39:24,103,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19417.47572815534,103.0,0.0,103.0,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,9708.73786407767,9708.73786407767,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,362,59,0,32,0,0,0,0,0,0,0,0,No Label
172.217.28.193-200.16.22.74-443-25855-6,200.16.22.74,25855,172.217.28.193,443,6,18/12/2019 03:39:24,3353,5,0,31.0,0.0,31.0,0.0,6.2,13.863621460498695,0,0,0,0,9245.451834178348,1491.201908738443,838.25,1272.5741301262833,2717.0,1.0,3353.0,838.25,1272.5741301262833,2717.0,1.0,0,0,0,0,0,0,0,0,0,160,0,1491.201908738443,0.0,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666669,0,0,0,0,1,0,0,0,0.0,6.2,6.2,0.0,0,0,0,0,0,0,5,31,0,0,4091,-1,1,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-31.13.94.19-61614-443-6,31.13.94.19,443,200.16.22.74,61614,6,18/12/2019 03:39:24,1,2,0,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0,0,0,0,3.9E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,64,0,2000000.0,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,1,0,0,1,0,0,0,0.0,39.0,19.5,0.0,0,0,0,0,0,0,2,39,0,0,135,-1,0,32,0,0,0,0,0,0,0,0,No Label
151.101.218.133-200.16.22.74-443-21146-6,151.101.218.133,443,200.16.22.74,21146,6,18/12/2019 03:39:24,3,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,1.0333333333333334E7,1000000.0,1.5,0.7071067811865476,2.0,1.0,3.0,1.5,0.7071067811865476,2.0,1.0,0,0,0,0,0,0,0,0,0,96,0,1000000.0,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,3,31,0,0,62,-1,1,32,0,0,0,0,0,0,0,0,No Label
162.125.19.131-200.16.22.74-443-45030-6,162.125.19.131,443,200.16.22.74,45030,6,18/12/2019 03:39:24,1,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,3.1E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,40,0,2000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,65403,-1,0,20,0,0,0,0,0,0,0,0,No Label
186.13.121.227-200.16.22.73-65046-443-6,186.13.121.227,65046,200.16.22.73,443,6,18/12/2019 03:39:24,227,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,136563.8766519824,13215.859030837006,113.5,159.0990257669732,226.0,1.0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,20,40,4405.286343612335,8810.57268722467,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,1024,237,0,20,0,0,0,0,0,0,0,0,No Label
186.13.121.227-200.16.22.73-39413-443-6,186.13.121.227,39413,200.16.22.73,443,6,18/12/2019 03:39:24,227,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,136563.8766519824,13215.859030837006,113.5,71.4177848998413,164.0,63.0,0,0,0,0,0,63.0,63.0,0.0,63.0,63.0,0,0,0,0,20,40,4405.286343612335,8810.57268722467,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,1024,237,0,20,0,0,0,0,0,0,0,0,No Label
186.13.121.227-200.16.22.73-65042-443-6,186.13.121.227,65042,200.16.22.73,443,6,18/12/2019 03:39:24,96,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,322916.6666666667,31250.0,48.0,22.627416997969522,64.0,32.0,0,0,0,0,0,64.0,64.0,0.0,64.0,64.0,0,0,0,0,20,40,10416.666666666666,20833.333333333332,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,1024,237,0,20,0,0,0,0,0,0,0,0,No Label
186.13.121.227-200.16.22.73-39411-443-6,186.13.121.227,39411,200.16.22.73,443,6,18/12/2019 03:39:24,264,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,117424.24242424242,11363.636363636362,132.0,165.46298679765212,249.0,15.0,0,0,0,0,0,15.0,15.0,0.0,15.0,15.0,0,0,0,0,20,40,3787.8787878787875,7575.757575757575,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,1024,237,0,20,0,0,0,0,0,0,0,0,No Label
186.13.121.227-200.16.22.73-65044-443-6,200.16.22.73,443,186.13.121.227,65044,6,18/12/2019 03:39:24,12,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,2583333.3333333335,166666.66666666666,12.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0,0,0,0,0,1,0,0,0,40,0,166666.66666666666,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,237,-1,0,20,0,0,0,0,0,0,0,0,No Label
186.13.121.227-200.16.22.73-39415-443-6,186.13.121.227,39415,200.16.22.73,443,6,18/12/2019 03:39:24,461,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,67245.11930585683,6507.5921908893715,230.5,72.8319984622144,282.0,179.0,0,0,0,0,0,282.0,282.0,0.0,282.0,282.0,0,0,0,0,20,40,2169.1973969631235,4338.394793926247,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,1024,237,0,20,0,0,0,0,0,0,0,0,No Label
200.16.22.74-200.115.92.97-16948-443-6,200.115.92.97,443,200.16.22.74,16948,6,18/12/2019 03:39:24,5080,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.5511811023622,2540.0,3491.6932854991715,5009.0,71.0,0,0,0,0,0,71.0,71.0,0.0,71.0,71.0,0,0,0,0,32,76,196.85039370078738,393.70078740157476,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,113,351,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-200.115.92.97-35208-443-6,200.115.92.97,443,200.16.22.74,35208,6,18/12/2019 03:39:24,10352,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.79907264296753,5176.0,2532.8564902102135,6967.0,3385.0,0,0,0,0,0,6967.0,6967.0,0.0,6967.0,6967.0,0,0,0,0,32,76,96.59969088098919,193.19938176197837,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,205,3224,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-200.115.92.97-11498-443-6,200.115.92.97,443,200.16.22.74,11498,6,18/12/2019 03:39:24,60399,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.669696518154275,30199.5,2585.8894987992044,32028.0,28371.0,0,0,0,0,0,28371.0,28371.0,0.0,28371.0,28371.0,0,0,0,0,32,76,16.556565506051424,33.11313101210285,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,251,3224,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-104.244.42.65-53940-443-6,104.244.42.65,443,200.16.22.74,53940,6,18/12/2019 03:39:24,3,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1.0333333333333334E7,666666.6666666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,0,1,0,0,0,64,0,666666.6666666666,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,382,-1,0,32,0,0,0,0,0,0,0,0,No Label
