Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
200.16.22.74-40.67.184.168-45341-443-6,40.67.184.168,443,200.16.22.74,45341,6,18/12/2019 03:22:08,54,2,0,370.0,0.0,270.0,100.0,185.0,120.20815280171308,0,0,0,0,6851851.851851852,37037.03703703704,54.0,0.0,54.0,54.0,54.0,54.0,0.0,54.0,54.0,0,0,0,0,0,1,0,0,0,64,0,37037.03703703704,0.0,100.0,270.0,213.33333333333334,98.14954576223637,9633.333333333332,0,1,0,0,1,0,0,0,0.0,320.0,185.0,0.0,0,0,0,0,0,0,2,370,0,0,244,-1,1,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-52.196.150.232-1962-443-6,52.196.150.232,443,200.16.22.74,1962,6,18/12/2019 03:22:09,1,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,3.1E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,64,0,2000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,125,-1,0,32,0,0,0,0,0,0,0,0,No Label
172.22.70.109-31.13.94.51-37574-443-6,31.13.94.51,443,172.22.70.109,37574,6,18/12/2019 03:22:09,4,2,0,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0,0,0,0,9750000.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,0,1,0,0,0,64,0,500000.0,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,1,0,0,1,0,0,0,0.0,39.0,19.5,0.0,0,0,0,0,0,0,2,39,0,0,146,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-34.233.110.131-53463-443-6,200.16.22.74,53463,34.233.110.131,443,6,18/12/2019 03:22:09,841,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,36860.87990487515,2378.1212841854936,841.0,0.0,841.0,841.0,841.0,841.0,0.0,841.0,841.0,0,0,0,0,0,1,0,0,0,64,0,2378.1212841854936,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,702,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-104.244.42.66-22664-443-6,104.244.42.66,443,200.16.22.74,22664,6,18/12/2019 03:22:09,0,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,64,0,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,129,-1,0,32,0,0,0,0,0,0,0,0,No Label
151.101.218.110-200.16.22.74-443-31216-6,151.101.218.110,443,200.16.22.74,31216,6,18/12/2019 03:22:09,10,3,0,89.0,0.0,58.0,0.0,29.666666666666664,29.022979401386987,0,0,0,0,8900000.0,300000.0,5.0,5.656854249492381,9.0,1.0,10.0,5.0,5.656854249492381,9.0,1.0,0,0,0,0,0,1,0,0,0,60,0,300000.0,0.0,0.0,58.0,36.75,27.608875384557045,762.25,0,1,0,0,1,0,0,0,0.0,49.0,29.666666666666668,0.0,0,0,0,0,0,0,3,89,0,0,62,-1,1,20,0,0,0,0,0,0,0,0,No Label
151.101.218.110-200.16.22.74-443-31216-6,200.16.22.74,31216,151.101.218.110,443,6,18/12/2019 03:22:09,937,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3201.7075773745996,468.5,188.79751057680818,602.0,335.0,937.0,468.5,188.79751057680818,602.0,335.0,0,0,0,0,0,0,0,0,0,60,0,3201.7075773745996,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,16398,-1,0,20,0,0,0,0,0,0,0,0,No Label
167.88.147.152-200.16.22.74-443-15490-6,200.16.22.74,15490,167.88.147.152,443,6,18/12/2019 03:22:09,361,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,85872.57617728531,5540.16620498615,361.0,0.0,361.0,361.0,361.0,361.0,0.0,361.0,361.0,0,0,0,0,0,1,0,0,0,64,0,5540.16620498615,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,1047,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-216.58.222.35-61229-443-6,200.16.22.74,61229,216.58.222.35,443,6,18/12/2019 03:22:09,9935,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.30850528434829,9935.0,0.0,9935.0,9935.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,100.65425264217414,100.65425264217414,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,421,252,0,32,0,0,0,0,0,0,0,0,No Label
181.31.21.50-200.16.22.73-44624-8008-6,181.31.21.50,44624,200.16.22.73,8008,6,18/12/2019 03:22:09,35851,3,4,34.0,5.0,34.0,0.0,11.333333333333334,19.629909152447276,5.0,0.0,1.25,2.5,1087.8357646927561,195.25257314998186,5975.166666666666,12761.371186775606,31851.0,2.0,32005.0,16002.5,22628.124104750706,32003.0,2.0,35699.0,11899.666666666668,17473.651888867804,31961.0,2.0,0,0,0,0,104,136,83.67967420713508,111.57289894284678,0.0,34.0,4.875,11.89762881538046,141.55357142857142,0,0,0,1,0,0,0,0,1.0,5.571428571428571,11.333333333333334,1.25,0,0,0,0,0,0,3,34,4,5,65535,227,1,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-31.13.94.19-40285-443-6,200.16.22.74,40285,31.13.94.19,443,6,18/12/2019 03:22:09,252,2,0,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0,0,0,0,154761.90476190476,7936.507936507936,252.0,0.0,252.0,252.0,252.0,252.0,0.0,252.0,252.0,0,0,0,0,0,1,0,0,0,64,0,7936.507936507936,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,1,0,0,1,0,0,0,0.0,39.0,19.5,0.0,0,0,0,0,0,0,2,39,0,0,2048,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-31.13.94.35-53679-443-6,200.16.22.74,53679,31.13.94.35,443,6,18/12/2019 03:22:09,268,2,0,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0,0,0,0,145522.38805970148,7462.686567164179,268.0,0.0,268.0,268.0,268.0,268.0,0.0,268.0,268.0,0,0,0,0,0,1,0,0,0,64,0,7462.686567164179,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,1,0,0,1,0,0,0,0.0,39.0,19.5,0.0,0,0,0,0,0,0,2,39,0,0,2048,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-200.115.92.81-54375-443-6,200.16.22.74,54375,200.115.92.81,443,6,18/12/2019 03:22:09,1320,2,1,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0.0,0.0,0.0,0.0,29545.454545454544,2272.7272727272725,660.0,435.57777721091327,968.0,352.0,1320.0,1320.0,0.0,1320.0,1320.0,0,0,0,0,0,1,0,0,0,64,20,1515.1515151515152,757.5757575757576,0.0,39.0,19.5,22.516660498395403,507.0,0,1,0,0,1,0,0,0,0.0,26.0,19.5,0.0,0,0,0,0,0,0,2,39,1,0,2048,0,0,32,0,0,0,0,0,0,0,0,No Label
190.31.178.67-200.16.22.73-55989-8008-6,190.31.178.67,55989,200.16.22.73,8008,6,18/12/2019 03:22:09,188189,3,4,27.0,5.0,27.0,0.0,9.0,15.588457268119896,5.0,0.0,1.25,2.5,170.04181966002264,37.19664805062995,31364.833333333336,75076.82701451005,184593.0,1.0,184759.0,92379.5,130642.92757168296,184758.0,1.0,188024.0,62674.66666666667,105756.15403527746,184777.0,2.0,0,0,0,0,104,136,15.941420593127123,21.25522745750283,0.0,27.0,4.0,9.456668093391638,89.42857142857143,0,0,0,1,0,0,0,0,1.0,4.571428571428571,9.0,1.25,0,0,0,0,0,0,3,27,4,5,65535,227,1,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-200.115.92.81-59940-443-6,200.16.22.74,59940,200.115.92.81,443,6,18/12/2019 03:22:09,83,2,0,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0,0,0,0,469879.5180722892,24096.385542168675,83.0,0.0,83.0,83.0,83.0,83.0,0.0,83.0,83.0,0,0,0,0,0,1,0,0,0,64,0,24096.385542168675,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,1,0,0,1,0,0,0,0.0,39.0,19.5,0.0,0,0,0,0,0,0,2,39,0,0,3587,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-52.95.20.228-30792-443-6,200.16.22.74,30792,52.95.20.228,443,6,18/12/2019 03:22:09,42,2,0,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0,0,0,0,1261904.761904762,47619.04761904762,42.0,0.0,42.0,42.0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,0,1,0,0,0,40,0,47619.04761904762,0.0,0.0,53.0,35.33333333333333,30.599564267050166,936.3333333333334,0,1,0,0,1,0,0,0,0.0,53.0,26.5,0.0,0,0,0,0,0,0,2,53,0,0,936,-1,0,20,0,0,0,0,0,0,0,0,No Label
172.22.70.100-181.30.145.97-55574-443-6,181.30.145.97,443,172.22.70.100,55574,6,18/12/2019 03:22:09,63761,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.05070497639623,31880.5,19352.80549429462,45565.0,18196.0,0,0,0,0,0,18196.0,18196.0,0.0,18196.0,18196.0,0,0,0,0,32,64,15.68356832546541,31.36713665093082,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,117,804,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-31.13.94.51-42082-443-6,31.13.94.51,443,200.16.22.74,42082,6,18/12/2019 03:22:09,1,2,0,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0,0,0,0,3.9E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,64,0,2000000.0,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,1,0,0,1,0,0,0,0.0,39.0,19.5,0.0,0,0,0,0,0,0,2,39,0,0,167,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-200.115.92.82-24195-443-6,200.16.22.74,24195,200.115.92.82,443,6,18/12/2019 03:22:09,1628,2,1,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0.0,0.0,0.0,0.0,23955.773955773955,1842.7518427518426,814.0,663.2661607529816,1283.0,345.0,1628.0,1628.0,0.0,1628.0,1628.0,0,0,0,0,0,1,0,0,0,64,20,1228.5012285012285,614.2506142506143,0.0,39.0,19.5,22.516660498395403,507.0,0,1,0,0,1,0,0,0,0.0,26.0,19.5,0.0,0,0,0,0,0,0,2,39,1,0,3761,0,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.73-201.213.22.17-8008-56466-6,201.213.22.17,56466,200.16.22.73,8008,6,18/12/2019 03:22:09,39816,3,4,26.0,5.0,26.0,0.0,8.666666666666666,15.01110699893027,5.0,0.0,1.25,2.5,778.5814747840064,175.8087201125176,6636.0,14529.611887452465,36182.0,1.0,36357.0,18178.5,25706.867030036934,36356.0,1.0,39642.0,13214.0,20138.325128967404,36392.0,1.0,0,0,0,0,104,136,75.34659433393611,100.46212577858148,0.0,26.0,3.875,9.109453488390118,82.98214285714288,0,0,0,1,0,0,0,0,1.0,4.428571428571429,8.666666666666666,1.25,0,0,0,0,0,0,3,26,4,5,65535,227,1,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-34.233.110.131-53463-443-6,34.233.110.131,443,200.16.22.74,53463,6,18/12/2019 03:22:09,1,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,3.1E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,64,0,2000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,114,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.16.171-200.16.22.74-443-39128-6,200.16.22.74,39128,200.16.16.171,443,6,18/12/2019 03:22:09,3043,4,1,573.0,0.0,573.0,0.0,143.25,286.5,0.0,0.0,0.0,0.0,188301.01873151495,1643.115346697338,760.75,1018.7810935950208,2224.0,1.0,3043.0,1014.3333333333333,1124.429781415155,2224.0,1.0,0,0,0,0,0,0,0,0,0,88,28,1314.4922773578705,328.62306933946763,0.0,573.0,95.5,233.9262704357935,54721.5,0,0,0,1,0,0,0,0,0.0,114.6,143.25,0.0,0,0,0,0,0,0,4,573,1,0,8192,29200,1,20,0,0,0,0,0,0,0,0,No Label
200.16.16.171-200.16.22.74-443-39128-6,200.16.16.171,443,200.16.22.74,39128,6,18/12/2019 03:22:09,203,3,0,141.0,0.0,141.0,0.0,47.0,81.40638795573723,0,0,0,0,694581.2807881774,14778.32512315271,101.5,142.12846301849606,202.0,1.0,203.0,101.5,142.12846301849606,202.0,1.0,0,0,0,0,0,0,0,0,0,60,0,14778.32512315271,0.0,0.0,141.0,35.25,70.5,4970.25,0,0,0,0,1,0,0,0,0.0,47.0,47.0,0.0,0,0,0,0,0,0,3,141,0,0,29796,-1,1,20,0,0,0,0,0,0,0,0,No Label
