Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
199.232.34.2-200.16.22.74-443-63489-6,199.232.34.2,443,200.16.22.74,63489,6,18/12/2019 03:37:44,1,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,3.1E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,64,0,2000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,153,-1,0,32,0,0,0,0,0,0,0,0,No Label
181.209.84.8-200.16.22.74-80-14218-6,200.16.22.74,14218,181.209.84.8,80,6,18/12/2019 03:37:44,481,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8316.008316008316,160.33333333333331,260.54046390788005,461.0,1.0,481.0,240.5,338.70414818835627,480.0,1.0,0,0,0,0,0,0,0,0,0,72,32,6237.006237006237,2079.002079002079,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,29200,0,20,0,0,0,0,0,0,0,0,No Label
200.16.22.74-216.58.202.42-65371-443-6,216.58.202.42,443,200.16.22.74,65371,6,18/12/2019 03:37:44,1,2,0,56.0,0.0,56.0,0.0,28.0,39.59797974644666,0,0,0,0,5.6E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,40,0,2000000.0,0.0,0.0,56.0,37.33333333333333,32.331615074619044,1045.3333333333335,0,1,0,0,1,0,0,0,0.0,56.0,28.0,0.0,0,0,0,0,0,0,2,56,0,0,246,-1,0,20,0,0,0,0,0,0,0,0,No Label
200.16.22.74-216.58.202.42-65371-443-6,200.16.22.74,65371,216.58.202.42,443,6,18/12/2019 03:37:44,383,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5221.9321148825065,383.0,0.0,383.0,383.0,383.0,383.0,0.0,383.0,383.0,0,0,0,0,0,0,0,0,0,40,0,5221.9321148825065,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16521,-1,0,20,0,0,0,0,0,0,0,0,No Label
190.98.152.169-200.16.22.74-80-5290-6,190.98.152.169,80,200.16.22.74,5290,6,18/12/2019 03:37:45,296,1,1,258.0,0.0,258.0,258.0,258.0,0.0,0.0,0.0,0.0,0.0,871621.6216216217,6756.756756756757,296.0,0.0,296.0,296.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,3378.3783783783783,3378.3783783783783,0.0,258.0,172.0,148.95636945092346,22188.0,0,1,0,0,1,0,0,0,1.0,258.0,258.0,0.0,0,0,0,0,0,0,1,258,1,0,58,255,0,20,0,0,0,0,0,0,0,0,No Label
172.217.172.78-200.16.22.74-443-35671-6,200.16.22.74,35671,172.217.172.78,443,6,18/12/2019 03:37:44,77787,6,3,581.0,3780.0,517.0,0.0,96.83333333333334,207.42460477645045,3780.0,0.0,1260.0,2182.3840175367854,56063.352488204975,115.70056693277797,9723.375,7722.403695695124,22459.0,384.0,77787.0,15557.4,11973.183507321684,35461.0,3884.0,51303.0,25651.5,4514.876797876106,28844.0,22459.0,0,0,0,0,132,72,77.13371128851865,38.56685564425933,0.0,3780.0,436.09999999999997,1185.9338982890706,1406439.2111111116,0,0,0,1,0,0,0,0,0.0,484.55555555555554,96.83333333333333,1260.0,0,0,0,0,0,0,6,581,3,3780,8192,242,2,20,0,0,0,0,0,0,0,0,No Label
172.217.172.78-200.16.22.74-443-56215-6,200.16.22.74,56215,172.217.172.78,443,6,18/12/2019 03:37:44,77787,6,3,581.0,3779.0,517.0,0.0,96.83333333333334,207.42460477645045,3779.0,0.0,1259.6666666666667,2181.806667267596,56050.49686965689,115.70056693277797,9723.375,7766.343613631836,22028.0,388.0,77787.0,15557.4,12232.057893093868,35603.0,2641.0,51103.0,25551.5,4982.9814870216005,29075.0,22028.0,0,0,0,0,132,72,77.13371128851865,38.56685564425933,0.0,3779.0,436.0,1185.6206063586371,1405696.2222222222,0,0,0,1,0,0,0,0,0.0,484.44444444444446,96.83333333333333,1259.6666666666667,0,0,0,0,0,0,6,581,3,3779,8192,242,2,20,0,0,0,0,0,0,0,0,No Label
172.217.172.78-200.16.22.74-443-10596-6,200.16.22.74,10596,172.217.172.78,443,6,18/12/2019 03:37:44,77788,6,4,581.0,3780.0,517.0,0.0,96.83333333333334,207.42460477645045,2350.0,0.0,945.0,1154.0219524197391,56062.63176839615,128.5545328328277,8643.111111111111,8057.430878456924,21722.0,39.0,77788.0,15557.6,12370.906324922196,35365.0,1586.0,51008.0,17002.666666666664,15165.121045785732,29247.0,39.0,0,0,0,0,132,92,77.13271969969662,51.421813133131074,0.0,2350.0,396.4545454545455,781.6550855251136,610984.6727272726,0,0,0,1,0,0,0,0,0.0,436.1,96.83333333333333,945.0,0,0,0,0,0,0,6,581,4,3780,8192,242,2,20,0,0,0,0,0,0,0,0,No Label
172.217.172.78-200.16.22.74-443-10153-6,200.16.22.74,10153,172.217.172.78,443,6,18/12/2019 03:37:44,78401,6,3,581.0,3780.0,517.0,0.0,96.83333333333334,207.42460477645045,3780.0,0.0,1260.0,2182.3840175367854,55624.29050649864,114.7944541523705,9800.125,8611.854030305305,23248.0,5.0,78401.0,15680.2,13174.768810115796,36467.0,5.0,52505.0,26252.5,4249.004648149964,29257.0,23248.0,0,0,0,0,132,72,76.52963610158034,38.26481805079017,0.0,3780.0,436.09999999999997,1185.9338982890706,1406439.2111111116,0,0,0,1,0,0,0,0,0.0,484.55555555555554,96.83333333333333,1260.0,0,0,0,0,0,0,6,581,3,3780,8192,242,2,20,0,0,0,0,0,0,0,0,No Label
172.217.172.78-200.16.22.74-443-10153-6,172.217.172.78,443,200.16.22.74,10153,6,18/12/2019 03:37:45,3,2,0,564.0,0.0,564.0,0.0,282.0,398.8082245892128,0,0,0,0,1.88E8,666666.6666666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,0,1,0,0,0,40,0,666666.6666666666,0.0,0.0,564.0,376.0,325.6255518229489,106032.0,0,1,0,0,1,0,0,0,0.0,564.0,282.0,0.0,0,0,0,0,0,0,2,564,0,0,242,-1,0,20,0,0,0,0,0,0,0,0,No Label
