Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
200.16.22.74-104.244.42.195-29964-443-6,104.244.42.195,443,200.16.22.74,29964,6,18/12/2019 03:38:44,2,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1.55E7,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,1,0,0,0,64,0,1000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,333,-1,0,32,0,0,0,0,0,0,0,0,No Label
172.217.172.104-200.16.22.74-443-2380-6,200.16.22.74,2380,172.217.172.104,443,6,18/12/2019 03:38:44,1,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,2.3E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,64,0,2000000.0,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,0,0,0,0,0,0,2,23,0,0,399,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-31.13.94.51-64245-443-6,31.13.94.51,443,200.16.22.74,64245,6,18/12/2019 03:38:44,3,2,0,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0,0,0,0,1.3E7,666666.6666666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,0,1,0,0,0,64,0,666666.6666666666,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,1,0,0,1,0,0,0,0.0,39.0,19.5,0.0,0,0,0,0,0,0,2,39,0,0,259,-1,0,32,0,0,0,0,0,0,0,0,No Label
172.19.30.63-200.16.22.74-443-21438-6,172.19.30.63,443,200.16.22.74,21438,6,18/12/2019 03:38:44,33604,6,5,470.0,1296.0,302.0,0.0,78.33333333333333,121.75165981072564,697.0,0.0,259.2,336.4486587876373,52553.26746815855,327.3419830972503,3360.400000000001,7262.703631874596,23693.0,16.0,33604.0,6720.8,11012.657000015937,25849.0,16.0,32017.0,8004.25,10509.041611076307,23693.0,1685.0,0,0,0,0,132,112,178.55017259850015,148.79181049875015,0.0,697.0,147.16666666666666,241.16227404849712,58159.242424242424,0,0,0,1,1,0,0,0,0.0,160.54545454545453,78.33333333333333,259.2,0,0,0,0,0,0,6,470,5,1296,29200,256,3,20,0,0,0,0,0,0,0,0,No Label
172.19.30.63-200.16.22.74-443-21438-6,200.16.22.74,21438,172.19.30.63,443,6,18/12/2019 03:38:44,2797,4,2,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0.0,0.0,0.0,0.0,11083.303539506614,2145.1555237754737,559.4,520.2574362755423,1270.0,58.0,2797.0,932.3333333333334,319.8192197685019,1270.0,634.0,58.0,58.0,0.0,58.0,58.0,0,0,0,0,80,40,1430.1036825169824,715.0518412584912,0.0,31.0,4.428571428571429,11.716898663286043,137.28571428571428,0,0,0,0,1,0,0,0,0.0,5.166666666666667,7.75,0.0,0,0,0,0,0,0,4,31,2,0,254,0,1,20,0,0,0,0,0,0,0,0,No Label
200.16.22.74-31.13.94.51-64245-443-6,200.16.22.74,64245,31.13.94.51,443,6,18/12/2019 03:38:44,770,3,0,39.0,0.0,39.0,0.0,13.0,22.516660498395403,0,0,0,0,50649.35064935065,3896.103896103896,385.0,485.0752518939716,728.0,42.0,770.0,385.0,485.0752518939716,728.0,42.0,0,0,0,0,0,0,0,0,0,96,0,3896.103896103896,0.0,0.0,39.0,9.75,19.5,380.25,0,0,0,0,1,0,0,0,0.0,13.0,13.0,0.0,0,0,0,0,0,0,3,39,0,0,773,-1,1,32,0,0,0,0,0,0,0,0,No Label
181.84.14.176-200.16.22.73-52516-8008-6,200.16.22.73,8008,181.84.14.176,52516,6,18/12/2019 03:38:44,3,2,0,5.0,0.0,5.0,0.0,2.5,3.5355339059327378,0,0,0,0,1666666.6666666665,666666.6666666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,0,1,0,0,0,64,0,666666.6666666666,0.0,0.0,5.0,3.333333333333333,2.886751345948129,8.333333333333334,0,1,0,0,1,0,0,0,0.0,5.0,2.5,0.0,0,0,0,0,0,0,2,5,0,0,227,-1,0,32,0,0,0,0,0,0,0,0,No Label
172.217.172.110-200.16.22.74-443-20979-6,172.217.172.110,443,200.16.22.74,20979,6,18/12/2019 03:38:44,2,2,0,56.0,0.0,56.0,0.0,28.0,39.59797974644666,0,0,0,0,2.8E7,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,1,0,0,0,40,0,1000000.0,0.0,0.0,56.0,37.33333333333333,32.331615074619044,1045.3333333333335,0,1,0,0,1,0,0,0,0.0,56.0,28.0,0.0,0,0,0,0,0,0,2,56,0,0,260,-1,0,20,0,0,0,0,0,0,0,0,No Label
172.22.69.157-31.13.94.51-43653-443-6,31.13.94.51,443,172.22.69.157,43653,6,18/12/2019 03:38:44,95097,2,0,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0,0,0,0,410.10757437143127,21.031157660073397,95097.0,0.0,95097.0,95097.0,95097.0,95097.0,0.0,95097.0,95097.0,0,0,0,0,0,0,0,0,0,64,0,21.031157660073397,0.0,0.0,39.0,13.0,22.516660498395403,507.0,0,0,0,0,1,1,0,0,0.0,19.5,19.5,0.0,0,0,0,0,0,0,2,39,0,0,214,-1,1,32,0,0,0,0,0,0,0,0,No Label
172.217.172.110-200.16.22.74-443-20979-6,200.16.22.74,20979,172.217.172.110,443,6,18/12/2019 03:38:44,613,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3262.642740619902,613.0,0.0,613.0,613.0,613.0,613.0,0.0,613.0,613.0,0,0,0,0,0,0,0,0,0,40,0,3262.642740619902,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16546,-1,0,20,0,0,0,0,0,0,0,0,No Label
