Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
199.232.34.2-200.16.22.74-443-8201-6,200.16.22.74,8201,199.232.34.2,443,6,18/12/2019 03:22:29,56,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,553571.4285714285,35714.28571428572,56.0,0.0,56.0,56.0,56.0,56.0,0.0,56.0,56.0,0,0,0,0,0,1,0,0,0,64,0,35714.28571428572,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,2043,-1,0,32,0,0,0,0,0,0,0,0,No Label
169.48.66.83-200.16.22.226-57210-443-6,200.16.22.226,443,169.48.66.83,57210,6,18/12/2019 03:22:29,553,10,0,10617.0,0.0,1448.0,0.0,1061.7,629.5504657204924,0,0,0,0,1.9198915009041592E7,18083.182640144667,61.44444444444444,58.389021038015166,143.0,6.0,553.0,61.44444444444444,58.389021038015166,143.0,6.0,0,0,0,0,0,0,0,0,0,320,0,18083.182640144667,0.0,0.0,1448.0,1096.8181818181818,608.4953275386457,370266.56363636366,0,0,0,0,1,0,0,0,0.0,1206.5,1061.7,0.0,0,0,0,0,0,0,10,10617,0,0,246,-1,8,32,0,0,0,0,0,0,0,0,No Label
192.16.48.183-200.16.22.74-443-21507-6,192.16.48.183,443,200.16.22.74,21507,6,18/12/2019 03:22:29,20,3,0,63.0,0.0,39.0,0.0,21.0,19.672315572906,0,0,0,0,3149999.9999999995,150000.0,10.0,8.48528137423857,16.0,4.0,20.0,10.0,8.48528137423857,16.0,4.0,0,0,0,0,0,1,0,0,0,60,0,150000.0,0.0,0.0,39.0,25.5,18.411952639521967,339.0,0,1,0,0,1,0,0,0,0.0,34.0,21.0,0.0,0,0,0,0,0,0,3,63,0,0,290,-1,1,20,0,0,0,0,0,0,0,0,No Label
200.16.22.74-200.115.92.97-12726-443-6,200.115.92.97,443,200.16.22.74,12726,6,18/12/2019 03:22:29,77816,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,25.701655186594017,77816.0,0.0,77816.0,77816.0,77816.0,77816.0,0.0,77816.0,77816.0,0,0,0,0,0,0,0,0,0,64,0,25.701655186594017,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,121,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-18.232.193.200-58932-443-6,18.232.193.200,443,200.16.22.74,58932,6,18/12/2019 03:22:29,41795,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.77892092355545,20897.5,29471.503533074116,41737.0,58.0,0,0,0,0,0,58.0,58.0,0.0,58.0,58.0,0,0,0,0,40,64,23.926306974518482,47.852613949036964,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,26847,343,0,40,0,0,0,0,0,0,0,0,No Label
200.16.22.74-200.115.92.97-29852-443-6,200.115.92.97,443,200.16.22.74,29852,6,18/12/2019 03:22:29,122446,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.50059618117374,61223.0,4823.882461254627,64634.0,57812.0,0,0,0,0,0,57812.0,57812.0,0.0,57812.0,57812.0,0,0,0,0,32,76,8.166865393724581,16.333730787449163,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,117,206,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-17.134.127.250-7812-443-6,17.134.127.250,443,200.16.22.74,7812,6,18/12/2019 03:22:29,12633,2,3,237.0,31.0,237.0,0.0,118.5,167.58430714121175,31.0,0.0,10.333333333333332,17.8978583448784,21214.280060159897,395.7888070925354,3158.25,3264.365928732051,8021.0,996.0,996.0,996.0,0.0,996.0,996.0,9818.0,4909.0,4401.032606105072,8021.0,1797.0,0,0,0,0,40,60,158.31552283701416,237.47328425552126,0.0,237.0,44.66666666666667,95.03613347914921,9031.866666666665,0,0,0,0,1,0,0,0,1.0,53.6,118.5,10.333333333333334,0,0,0,0,0,0,2,237,3,31,256,2048,1,20,0,0,0,0,0,0,0,0,No Label
200.16.22.74-200.115.92.97-12726-443-6,200.16.22.74,12726,200.115.92.97,443,6,18/12/2019 03:22:29,36691,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,54.50928020495489,36691.0,0.0,36691.0,36691.0,36691.0,36691.0,0.0,36691.0,36691.0,0,0,0,0,0,0,0,0,0,76,0,54.50928020495489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,255,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-23.1.154.30-11998-443-6,23.1.154.30,443,200.16.22.74,11998,6,18/12/2019 03:22:29,2,2,0,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0,0,0,0,2.65E7,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,1,0,0,0,40,0,1000000.0,0.0,0.0,53.0,35.33333333333333,30.599564267050166,936.3333333333334,0,1,0,0,1,0,0,0,0.0,53.0,26.5,0.0,0,0,0,0,0,0,2,53,0,0,245,-1,0,20,0,0,0,0,0,0,0,0,No Label
199.232.34.2-200.16.22.74-443-8201-6,199.232.34.2,443,200.16.22.74,8201,6,18/12/2019 03:22:29,0,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,64,0,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,69,-1,0,32,0,0,0,0,0,0,0,0,No Label
