Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.22.69.70-54.213.39.38-34872-443-6,54.213.39.38,443,172.22.69.70,34872,6,18/12/2019 03:20:09,2,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1.55E7,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,1,0,0,0,64,0,1000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,123,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-35.241.26.53-61168-443-6,200.16.22.74,61168,35.241.26.53,443,6,18/12/2019 03:20:09,995,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,31155.77889447236,2010.0502512562814,995.0,0.0,995.0,995.0,995.0,995.0,0.0,995.0,995.0,0,0,0,0,0,1,0,0,0,64,0,2010.0502512562814,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,199,-1,0,32,0,0,0,0,0,0,0,0,No Label
172.217.30.138-200.16.22.74-443-41757-6,200.16.22.74,41757,172.217.30.138,443,6,18/12/2019 03:20:09,454,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0,0,0,0,52863.43612334802,4405.286343612335,454.0,0.0,454.0,454.0,454.0,454.0,0.0,454.0,454.0,0,0,0,0,0,1,0,0,0,64,0,4405.286343612335,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,1,0,0,1,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,2,24,0,0,387,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-35.241.26.53-61168-443-6,35.241.26.53,443,200.16.22.74,61168,6,18/12/2019 03:20:09,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,64,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,245,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-23.198.205.126-46009-443-6,200.16.22.74,46009,23.198.205.126,443,6,18/12/2019 03:20:10,2107,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,14712.861888941623,949.21689606075,2107.0,0.0,2107.0,2107.0,2107.0,2107.0,0.0,2107.0,2107.0,0,0,0,0,0,1,0,0,0,64,0,949.21689606075,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,399,-1,0,32,0,0,0,0,0,0,0,0,No Label
192.16.59.1-200.16.22.74-443-31863-6,200.16.22.74,31863,192.16.59.1,443,6,18/12/2019 03:20:10,799,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,38798.49812265331,3754.6933667083854,399.5,562.1498910433053,797.0,2.0,0,0,0,0,0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,32,64,1251.5644555694619,2503.1289111389237,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,1177,312,0,32,0,0,0,0,0,0,0,0,No Label
172.217.28.193-200.16.22.74-443-22835-6,172.217.28.193,443,200.16.22.74,22835,6,18/12/2019 03:20:10,2,2,0,56.0,0.0,56.0,0.0,28.0,39.59797974644666,0,0,0,0,2.8E7,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,1,0,0,0,64,0,1000000.0,0.0,0.0,56.0,37.33333333333333,32.331615074619044,1045.3333333333335,0,1,0,0,1,0,0,0,0.0,56.0,28.0,0.0,0,0,0,0,0,0,2,56,0,0,268,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-17.253.7.207-3643-80-6,200.16.22.74,3643,17.253.7.207,80,6,18/12/2019 03:20:10,7880,5,3,65.0,793.0,65.0,0.0,13.0,29.068883707497267,793.0,0.0,264.3333333333333,457.8387634673732,108883.24873096446,1015.2284263959391,1125.7142857142856,1617.195073193678,4260.0,38.0,7880.0,1970.0,1982.43385766083,4329.0,63.0,5330.0,2665.0,3198.951078087941,4927.0,403.0,0,0,0,0,172,104,634.5177664974619,380.71065989847716,0.0,793.0,95.33333333333331,262.5066665820127,68909.75,0,0,0,1,0,0,0,0,0.0,107.25,13.0,264.3333333333333,0,0,0,0,0,0,5,65,3,793,65535,57,1,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-17.173.66.104-37919-443-6,200.16.22.74,37919,17.173.66.104,443,6,18/12/2019 03:20:10,62,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,500000.0,32258.06451612903,62.0,0.0,62.0,62.0,62.0,62.0,0.0,62.0,62.0,0,0,0,0,0,1,0,0,0,40,0,32258.06451612903,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,2048,-1,0,20,0,0,0,0,0,0,0,0,No Label
190.98.152.161-200.16.22.74-80-36356-6,190.98.152.161,80,200.16.22.74,36356,6,18/12/2019 03:20:10,559,1,1,258.0,0.0,258.0,258.0,258.0,0.0,0.0,0.0,0.0,0.0,461538.4615384615,3577.8175313059032,559.0,0.0,559.0,559.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,1788.9087656529516,1788.9087656529516,0.0,258.0,172.0,148.95636945092346,22188.0,0,1,0,0,1,0,0,0,1.0,258.0,258.0,0.0,0,0,0,0,0,0,1,258,1,0,58,16360,0,20,0,0,0,0,0,0,0,0,No Label
