Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.22.69.156-31.13.94.19-32957-443-6,31.13.94.19,443,172.22.69.156,32957,6,18/12/2019 03:20:29,21127,1,3,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,13.0,22.516660498395403,1845.9790789037725,189.3311875798741,7042.333333333334,5617.342461817094,12715.0,1482.0,0,0,0,0,0,14197.0,7098.5,7942.930473068488,12715.0,1482.0,0,0,0,0,32,96,47.332796894968524,141.99839068490556,0.0,39.0,7.8,17.44133022449836,304.2,0,0,0,0,1,1,0,0,3.0,9.75,0.0,13.0,0,0,0,0,0,0,1,0,3,39,119,714,0,32,0,0,0,0,0,0,0,0,No Label
172.22.69.175-31.13.94.19-55662-443-6,172.22.69.175,55662,31.13.94.19,443,6,18/12/2019 03:20:29,2,3,0,39.0,0.0,39.0,0.0,13.0,22.516660498395403,0,0,0,0,1.95E7,1500000.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,108,0,1500000.0,0.0,0.0,39.0,9.75,19.5,380.25,0,0,0,0,1,0,0,0,0.0,13.0,13.0,0.0,0,0,0,0,0,0,3,39,0,0,3520,-1,1,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-31.13.94.14-36259-443-6,200.16.22.74,36259,31.13.94.14,443,6,18/12/2019 03:20:29,18022,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.9509488403063,6007.333333333333,4736.133056970986,11391.0,2483.0,18022.0,9011.0,9231.986135171564,15539.0,2483.0,0,0,0,0,0,0,0,0,0,104,40,166.46321163022972,55.487737210076574,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,65535,27760,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-40.97.171.114-28907-443-6,40.97.171.114,443,200.16.22.74,28907,6,18/12/2019 03:20:29,13282,1,3,1021.0,31.0,1021.0,1021.0,1021.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,79204.93901520855,301.15946393615417,4427.333333333333,4980.555926132477,10156.0,1124.0,0,0,0,0,0,11280.0,5640.0,6386.588447676897,10156.0,1124.0,1,0,0,0,20,60,75.28986598403854,225.86959795211564,0.0,1021.0,414.6,553.7095809176503,306594.3,0,1,0,0,1,0,0,0,3.0,518.25,1021.0,10.333333333333334,0,0,0,0,0,0,1,1021,3,31,2052,2048,0,20,0,0,0,0,0,0,0,0,No Label
172.19.30.63-200.16.22.74-443-12368-6,172.19.30.63,443,200.16.22.74,12368,6,18/12/2019 03:20:29,1320,4,0,2617.0,0.0,1460.0,0.0,654.25,750.1699251947299,0,0,0,0,1982575.7575757576,3030.3030303030305,440.0,725.8284921384666,1278.0,9.0,1320.0,440.0,725.8284921384666,1278.0,9.0,0,0,0,0,0,0,0,0,0,80,0,3030.3030303030305,0.0,0.0,1460.0,815.4,742.908338895183,551912.8,0,0,0,0,1,0,0,0,0.0,1019.25,654.25,0.0,0,0,0,0,0,0,4,2617,0,0,65,-1,2,20,0,0,0,0,0,0,0,0,No Label
172.19.30.63-200.16.22.74-443-12368-6,200.16.22.74,12368,172.19.30.63,443,6,18/12/2019 03:20:29,9132,4,2,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0.0,0.0,0.0,0.0,3394.6561541830924,657.030223390276,1826.4,2597.4738304745247,5732.0,1.0,9132.0,3044.0,5270.630607432094,9130.0,1.0,112.0,112.0,0.0,112.0,112.0,0,0,0,0,80,40,438.02014892685065,219.01007446342533,0.0,31.0,4.428571428571429,11.716898663286045,137.2857142857143,0,0,0,0,1,0,0,0,0.0,5.166666666666667,7.75,0.0,0,0,0,0,0,0,4,31,2,0,256,0,1,20,0,0,0,0,0,0,0,0,No Label
172.22.69.178-23.198.192.82-60155-443-6,23.198.192.82,443,172.22.69.178,60155,6,18/12/2019 03:20:29,1949,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,15905.59261159569,1539.2508978963572,974.5,1345.624204598,1926.0,23.0,1949.0,974.5,1345.624204598,1926.0,23.0,0,0,0,0,0,0,0,0,0,96,0,1539.2508978963572,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,3,31,0,0,243,-1,1,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-52.34.133.160-4959-443-6,52.34.133.160,443,200.16.22.74,4959,6,18/12/2019 03:20:29,2,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1.55E7,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,1,0,0,0,64,0,1000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,124,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-104.18.98.194-57109-443-6,104.18.98.194,443,200.16.22.74,57109,6,18/12/2019 03:20:29,12,3,0,63.0,0.0,39.0,0.0,21.0,19.672315572906,0,0,0,0,5250000.0,250000.0,6.0,7.0710678118654755,11.0,1.0,12.0,6.0,7.0710678118654755,11.0,1.0,0,0,0,0,0,1,0,0,0,60,0,250000.0,0.0,0.0,39.0,25.5,18.411952639521967,339.0,0,1,0,0,1,0,0,0,0.0,34.0,21.0,0.0,0,0,0,0,0,0,3,63,0,0,33,-1,1,20,0,0,0,0,0,0,0,0,No Label
200.16.22.74-104.18.98.194-57109-443-6,200.16.22.74,57109,104.18.98.194,443,6,18/12/2019 03:20:29,502,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5976.095617529881,251.0,260.2152954766495,435.0,67.0,502.0,251.0,260.2152954766495,435.0,67.0,0,0,0,0,0,0,0,0,0,60,0,5976.095617529881,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,256,-1,0,20,0,0,0,0,0,0,0,0,No Label
